model,phase,epoch,train_loss,valid_loss,accuracy,f1_score,precision_score,recall_score,ckpt,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_macro,classification_report
resnet34,finetune,13,0.3134864866733551,0.2125399112701416,0.9402775168418884,0.9155283120752049,0.9200630468664996,0.9125701568221276,,,,,,,
resnet34,finetune,14,0.2535721957683563,0.1732778400182724,0.9574916362762451,0.9373639275139368,0.9405750692853623,0.9342534557397315,,,,,,,
resnet34,finetune,15,0.2705102860927582,0.22529231011867523,0.9318461418151855,0.911143411750772,0.8973682183430324,0.9287205173661823,,,,,,,
resnet34,finetune,16,0.21777692437171936,0.19201692938804626,0.9502898454666138,0.9308672762845092,0.9416985714904268,0.9216386772327418,,,,,,,
resnet34,finetune,17,0.19066795706748962,0.19013050198554993,0.9536272883415222,0.9329308946993965,0.9465441176268881,0.9228413331126655,,,,,,,
resnet34,finetune,18,0.1598241925239563,0.15718473494052887,0.9646934866905212,0.9481731367581989,0.9442244636020914,0.9525480726451354,,,,,,,
resnet34,finetune,19,0.14615444839000702,0.15432021021842957,0.9683822393417358,0.9530161010916075,0.9581250314655593,0.9481909344902245,,,,,,,
resnet34,finetune,20,0.16411377489566803,0.16538086533546448,0.9643421769142151,0.9477312951207871,0.9562886329973705,0.940452797080993,,,,,,,
resnet34,finetune,21,0.14582878351211548,0.15176264941692352,0.9671526551246643,0.9515334192528389,0.9604503509814031,0.9433927829095115,,,,,,,
resnet34,finetune,22,0.09830479323863983,0.14358599483966827,0.9682065844535828,0.9522962310502636,0.9496160216691678,0.9554939686909725,,,,,,,
resnet34,finetune,23,0.11702737212181091,0.14327001571655273,0.9668013453483582,0.9539165116891839,0.9491084487807026,0.9591061302435395,,,,,,,
resnet34,finetune,24,0.12062857300043106,0.13667774200439453,0.9683822393417358,0.9530802627748092,0.9546958758257758,0.9519916821609435,,,,,,,
resnet34,finetune,25,0.09475596249103546,0.13673679530620575,0.9722466468811035,0.9596000229727905,0.9635405468041531,0.9558425350086714,,,,,,,
resnet34,finetune,26,0.08032529056072235,0.13089090585708618,0.9706657528877258,0.9528126959593444,0.9508493256335406,0.9553863889302823,,,,,,,
